art_id	url	name	where	m_gender	a_gender	m_count	a_count	m_quotes	a_quotes	m_source	a_source
a003	https://www.nytimes.com/2017/03/07/technology/blue-origin-jeff-bezoss-moon-shot-gets-first-paying-customer.html	John Glenn	both	male	male	1	1		0	False	False
a003	https://www.nytimes.com/2017/03/07/technology/blue-origin-jeff-bezoss-moon-shot-gets-first-paying-customer.html	Rodolphe Belmer	both	male	male	1	1	30	33	True	True
a003	https://www.nytimes.com/2017/03/07/technology/blue-origin-jeff-bezoss-moon-shot-gets-first-paying-customer.html	Carissa Bryce Christensen	both	female	female	2	2	40	44	True	True
a003	https://www.nytimes.com/2017/03/07/technology/blue-origin-jeff-bezoss-moon-shot-gets-first-paying-customer.html	Musk	auto_only		male		1				False
a004	https://www.nytimes.com/2017/03/07/world/europe/wikileaks-cia-hacking.html	Dean Boyd	both	male	male	1	1	13	14	True	True
a004	https://www.nytimes.com/2017/03/07/world/europe/wikileaks-cia-hacking.html	Edward J. Snowden	both	male	male	2	2		0	False	False
a004	https://www.nytimes.com/2017/03/07/world/europe/wikileaks-cia-hacking.html	Beau Woods	both	male	male	1	1	41	0	True	True
a004	https://www.nytimes.com/2017/03/07/world/europe/wikileaks-cia-hacking.html	Chelsea Manning	both	female	female	1	1		0	False	False
a004	https://www.nytimes.com/2017/03/07/world/europe/wikileaks-cia-hacking.html	Ben Wizner	both	male	male	2	2	36	42	True	True
a004	https://www.nytimes.com/2017/03/07/world/europe/wikileaks-cia-hacking.html	James Lewis	both	male	male	3	3	19	20	True	True
a004	https://www.nytimes.com/2017/03/07/world/europe/wikileaks-cia-hacking.html	Robert M. Chesney	both	male	male	2	2	29	35	True	True
a004	https://www.nytimes.com/2017/03/07/world/europe/wikileaks-cia-hacking.html	Harry Potter	auto_only		male		1				False
a004	https://www.nytimes.com/2017/03/07/world/europe/wikileaks-cia-hacking.html	Python	auto_only		None		1				False
a004	https://www.nytimes.com/2017/03/07/world/europe/wikileaks-cia-hacking.html	WikiLeaks	auto_only		non-living		3				True
a005	https://www.nytimes.com/2017/03/07/business/caterpillar-tax-fraud.html	Trump	both	male	male	1	1		0	False	True
a005	https://www.nytimes.com/2017/03/07/business/caterpillar-tax-fraud.html	Corrie Heck Scott	both	female	female	1	1		0	False	False
a005	https://www.nytimes.com/2017/03/07/business/caterpillar-tax-fraud.html	Caroline Nolan	both	female	female	1	1	9	11	True	True
a005	https://www.nytimes.com/2017/03/07/business/caterpillar-tax-fraud.html	Leslie A. Robinson	both	female	female	8	9	69	80	True	True
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Maxwell Ogden	both	male	male	4	4	40	49	True	True
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Laurie Allen	both	female	female	1	1	40	44	True	True
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	James R. Jacobs	both	male	male	1	1	31	0	True	False
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Patrice McDermott	both	female	female	2	2	18	20	True	True
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Barbara Thiers	both	female	female	1	1	23	26	True	True
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Anne Jefferson	both	female	female	1	1	22	24	True	True
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Andrew Bergman	both	male	male	2	2	34	40	True	True
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	James A. Jacobs	both	male	male	1	1	31	0	True	False
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Obama	auto_only		male		1				False
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Sarah Burton	both	female	female	1	1		0	False	False
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Cara Delevingne	both	female	female	1	1		0	False	False
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Nadge Vanhee-Cybulski	both	female	female	1	1		0	False	False
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Alexander McQueen	both	male	male	1	1		0	False	False
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Nicki Minaj	both	female	female	1	1		0	False	False
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Karl Lagerfeld	both	male	male	1	1		0	False	False
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Rihanna	both	female	female	1	1		0	False	False
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Kendall Jenner	both	female	female	1	1		0	False	False
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Gigi Hadid	both	female	female	1	1		0	False	False
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Kim Kardashian	manual_only	female		1				False	
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Giambattista Valli	both	male	male	1	1		0	False	False
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Riccardo Tisci	both	male	male	1	1		0	False	False
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Haider Ackermann	both	male	male	1	1		0	False	False
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Nick Jonas	both	male	male	1	1		0	False	False
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Joe Jonas	both	male	male	1	1		0	False	False
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Fenty	auto_only		None		1				False
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Kim	auto_only		female		1				False
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	James W. Cook	both	male	male	1	1	31	35	True	True
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	John M. Williams	both	male	male	2	2	88	95	True	True
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Richard Woodley	both	male	male	1	1	21	23	True	True
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Dudley Wood	both	male	male	1	1	32	0	False	False
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Josh Rice	both	male	male	7	1		9	False	True
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	unnamed source	manual_only			1		36		False	
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Helen Weston	both	female	female	1	1	27	33	True	True
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Ella Eyre	both	female	female	1	1		0	False	False
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Arsne Wenger	both	male	male	1	1		0	False	True
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Josephine Wright	both	female	female	1	2	28	35	True	True
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Arthur Jones	both	male	male	2	2	82	87	True	True
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Chris Oti	both	male	male	1	2		0	False	False
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	Oren Falkowitz	both	male	male	3	3	66	45	True	True
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	Edward J. Snowden	both	male	male	3	3		0	False	False
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	Denelle Dixon	both	female	female	2	2	61	65	True	True
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	Barack Obama	both	male	male		1		0	False	False
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	David Gutelius	both	male	male	1	1	46	53	True	True
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	Matthew D. Green	both	male	male	1	1	25	28	True	True
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	Timothy D. Cook	both	male	male	1	1	20	21	True	True
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	Julian Assange	auto_only		male		1				False
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	WikiLeaks	auto_only		non-living		2				True
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	Obama	auto_only		male		1				False
a010	https://www.nytimes.com/2017/01/27/technology/millennial-social-media-usage.html	Sean Casey	both	male	male	1	3	43	65	True	True
a011	https://techcrunch.com/2017/03/14/bill-maris-next-gig-after-gv-is-a-100-million-health-and-biotech-fund/	Bill Maris	both	male	male	9	9		11	False	True
a012	https://techcrunch.com/2017/03/14/sift-raises-1-5-million-to-unlock-your-credit-cards/	Sophia Collier	both	female	female	1	1		0	False	False
a012	https://techcrunch.com/2017/03/14/sift-raises-1-5-million-to-unlock-your-credit-cards/	Abhinav Dubey	both	male	male	2	2	139	149	True	True
a013	https://techcrunch.com/2017/03/14/zenefits-founder-parker-conrad-takes-another-crack-at-hr-onboarding/	Parker Conrad	both	male	male	11	11	301	333	True	True
a013	https://techcrunch.com/2017/03/14/zenefits-founder-parker-conrad-takes-another-crack-at-hr-onboarding/	Rippling	auto_only		male		1				True
a013	https://techcrunch.com/2017/03/14/zenefits-founder-parker-conrad-takes-another-crack-at-hr-onboarding/	Zenefits	auto_only		None		1				False
a013	https://techcrunch.com/2017/03/14/zenefits-founder-parker-conrad-takes-another-crack-at-hr-onboarding/	Mark McGuire	auto_only		male		1				False
a014	https://techcrunch.com/2017/03/14/teams-microsofts-slack-rival-opens-to-all-office-365-users/	Mira Lane	both	female	female	3	3	99	108	True	True
a014	https://techcrunch.com/2017/03/14/teams-microsofts-slack-rival-opens-to-all-office-365-users/	Deloitte	auto_only		None		1				False
a014	https://techcrunch.com/2017/03/14/teams-microsofts-slack-rival-opens-to-all-office-365-users/	J. Walter Thompson	auto_only		None		1				False
a014	https://techcrunch.com/2017/03/14/teams-microsofts-slack-rival-opens-to-all-office-365-users/	J.B. Hunt	auto_only		None		1				False
a014	https://techcrunch.com/2017/03/14/teams-microsofts-slack-rival-opens-to-all-office-365-users/	Zendesk Hootsuite	auto_only		None		2				False
a015	https://techcrunch.com/2017/03/14/goodlord/	Richard White	both	male	male	1	1	56	43	True	True
a015	https://techcrunch.com/2017/03/14/goodlord/	Meyer Malka	both	male	male	1	1	45	47	True	True
a015	https://techcrunch.com/2017/03/14/goodlord/	LocalGlobe	auto_only		None		1				False
a016	https://techcrunch.com/2017/03/14/tag-heuer-android-wear/	Jean-Claude Biver	both	male	None	1	1	88	0	True	False
a016	https://techcrunch.com/2017/03/14/tag-heuer-android-wear/	Siri	auto_only		female		1				False
a016	https://techcrunch.com/2017/03/14/tag-heuer-android-wear/	Oakley	auto_only		male		1				False
a017	https://techcrunch.com/2017/03/14/roomba-connected-home/	Colin Angle	both	male	male	3	1	261	193	True	True
a017	https://techcrunch.com/2017/03/14/roomba-connected-home/	Roomba	auto_only		None		1				False
a017	https://techcrunch.com/2017/03/14/roomba-connected-home/	Alexa	auto_only		female		2				False
a018	https://techcrunch.com/2017/03/08/tutoring-startup-toot-launches-into-twin-policy-storms-around-education-and-immigration/	Sophia Parsa	both	female	female	13	13	181	135	True	True
a018	https://techcrunch.com/2017/03/08/tutoring-startup-toot-launches-into-twin-policy-storms-around-education-and-immigration/	Chuck Pacheco	both	male	male	1	1		0	False	False
a018	https://techcrunch.com/2017/03/08/tutoring-startup-toot-launches-into-twin-policy-storms-around-education-and-immigration/	Betsy DeVos	both	female	female	1	1		0	False	False
a018	https://techcrunch.com/2017/03/08/tutoring-startup-toot-launches-into-twin-policy-storms-around-education-and-immigration/	Randy Horowitz	both	male	male	1	1		0	False	False
a018	https://techcrunch.com/2017/03/08/tutoring-startup-toot-launches-into-twin-policy-storms-around-education-and-immigration/	Donald Trump	both	male	male	1	1		0	False	False
a018	https://techcrunch.com/2017/03/08/tutoring-startup-toot-launches-into-twin-policy-storms-around-education-and-immigration/	Shakib Zabihian	both	male	male	13	15	137	145	True	True
a018	https://techcrunch.com/2017/03/08/tutoring-startup-toot-launches-into-twin-policy-storms-around-education-and-immigration/	Tobey Maguire	both	male	male	1	1		0	False	False
a018	https://techcrunch.com/2017/03/08/tutoring-startup-toot-launches-into-twin-policy-storms-around-education-and-immigration/	Paras	auto_only		male		1				False
a018	https://techcrunch.com/2017/03/08/tutoring-startup-toot-launches-into-twin-policy-storms-around-education-and-immigration/	Getty	auto_only		male		1				False
a019	https://techcrunch.com/2017/03/14/producepay-raises-77-million-in-debt-and-equity-to-revolutionize-farm-financing/	Pablo Borquez Schwarzbeck	both	male	male	10	7	88	95	True	True
a019	https://techcrunch.com/2017/03/14/producepay-raises-77-million-in-debt-and-equity-to-revolutionize-farm-financing/	Ali Hamed	both	male	male	2	3	84	43	True	True
a020	https://techcrunch.com/2017/03/06/how-hazel-technologies-keeps-fresh-fruit-and-vegetables-from-spoiling/	Aidan Mouat	both	male	male	2	2	41	0	True	True
a020	https://techcrunch.com/2017/03/06/how-hazel-technologies-keeps-fresh-fruit-and-vegetables-from-spoiling/	Niko Hrdy	both	male	male	2	2	39	45	True	True
a021	https://www.nytimes.com/2017/03/15/world/asia/beauty-beast-gay-character-malaysia.html	Bill Condon	both	male	male	1	1	3	0	True	False
a021	https://www.nytimes.com/2017/03/15/world/asia/beauty-beast-gay-character-malaysia.html	Dan Stevens	both	male	male	1	1		0	False	False
a021	https://www.nytimes.com/2017/03/15/world/asia/beauty-beast-gay-character-malaysia.html	Abdul Halim Abdul Hamid	both	male	male	2	2	69	80	True	True
a021	https://www.nytimes.com/2017/03/15/world/asia/beauty-beast-gay-character-malaysia.html	Emma Watson	both	female	female	1	1		0	False	False
a021	https://www.nytimes.com/2017/03/15/world/asia/beauty-beast-gay-character-malaysia.html	Gaston	auto_only		male		1				False
a022	https://www.nytimes.com/2017/03/14/sports/soccer/leicester-city-fc-sevilla-champions-league.html	Craig Shakespeare	both	male	male	2	2		4	False	True
a022	https://www.nytimes.com/2017/03/14/sports/soccer/leicester-city-fc-sevilla-champions-league.html	Samir Nasri	both	male	male	1	1		0	False	False
a022	https://www.nytimes.com/2017/03/14/sports/soccer/leicester-city-fc-sevilla-champions-league.html	Wes Morgan	both	male	male	1	1		0	False	False
a022	https://www.nytimes.com/2017/03/14/sports/soccer/leicester-city-fc-sevilla-champions-league.html	Marc Albrighton	both	male	male	2	1		0	False	False
a022	https://www.nytimes.com/2017/03/14/sports/soccer/leicester-city-fc-sevilla-champions-league.html	Claudio Ranieri	both	male	male	4	4		0	False	False
a022	https://www.nytimes.com/2017/03/14/sports/soccer/leicester-city-fc-sevilla-champions-league.html	Jamie Vardy	both	male	female	2	2		0	False	False
a022	https://www.nytimes.com/2017/03/14/sports/soccer/leicester-city-fc-sevilla-champions-league.html	Chelsea	auto_only		female		1				False
a023	https://www.nytimes.com/2017/03/14/business/dealbook/bank-england-charlotte-hogg-resign.html	Nemat Shafik	both	female	female	2	2		0	False	False
a023	https://www.nytimes.com/2017/03/14/business/dealbook/bank-england-charlotte-hogg-resign.html	Quintin Hogg	both	male	male	1	1		0	False	False
a023	https://www.nytimes.com/2017/03/14/business/dealbook/bank-england-charlotte-hogg-resign.html	Mark J. Carney	both	male	male	5	5		1	False	True
a023	https://www.nytimes.com/2017/03/14/business/dealbook/bank-england-charlotte-hogg-resign.html	Douglas Hogg	both	male	male	1	1		0	False	False
a023	https://www.nytimes.com/2017/03/14/business/dealbook/bank-england-charlotte-hogg-resign.html	John Mann	both	male	male	1	1	2	0	True	True
a023	https://www.nytimes.com/2017/03/14/business/dealbook/bank-england-charlotte-hogg-resign.html	John Major	both	male	male	1	1		0	False	False
a023	https://www.nytimes.com/2017/03/14/business/dealbook/bank-england-charlotte-hogg-resign.html	Charlotte Hogg	both	female	female	10	10		2	False	True
a023	https://www.nytimes.com/2017/03/14/business/dealbook/bank-england-charlotte-hogg-resign.html	Sarah Hogg	both	female	female	1	1		0	False	False
a023	https://www.nytimes.com/2017/03/14/business/dealbook/bank-england-charlotte-hogg-resign.html	Santander	auto_only		None		1				False
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	Stefan Grant	both	male	male	1	1		0	False	False
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	Douglas Quinby	both	male	male	1	1	27	33	True	True
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	Parker Stanberry	both	male	male	1	1	15	0	True	True
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	Matthieu Jost	both	male	male	1	1		0	False	False
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	Jeff Manheimer	both	male	male	1	1	19	10	True	True
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	Evan Frank	both	male	male	2	2	76	87	True	True
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	Ronnia Cherry	both	female	female	1	1		0	False	False
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	Airbnb	auto_only		None		1				False
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	GuesttoGuest	auto_only		None		1				False
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	Martha	auto_only		female		1				False
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Humaira Iqbal	both	female	female	2	2	65	0	True	False
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Farhat Hashmi	both	female	female	3	3		0	False	False
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Huma Najmul Hassan	both	female	female	1	1		0	False	False
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Kulsoom Umar	both	female	female	1	1	18	0	True	False
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Faiza Mushtaq	both	female	female	1	1	52	39	True	True
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Sara Asif	both	female	female	3	3	23	12	True	True
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Muhammad	both	male	male	1	1		0	False	False
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Safiya Khan	both	female	female	1	1		0	False	False
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Tashfeen Malik	both	female	None	1	1		0	False	False
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Mahjabeen Umar	both	female	female	1	1	9	0	True	True
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Little Ummati	auto_only		female		1				True
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Al-Huda	auto_only		None		1				False
a026	https://www.nytimes.com/2017/03/14/well/swimming-with-a-brand-new-leg.html	Ben	manual_only	male		1				False	
a026	https://www.nytimes.com/2017/03/14/well/swimming-with-a-brand-new-leg.html	Matthew Flynn	both	male	male	2	2	25	29	True	True
a026	https://www.nytimes.com/2017/03/14/well/swimming-with-a-brand-new-leg.html	Luke	manual_only	male		1				False	
a026	https://www.nytimes.com/2017/03/14/well/swimming-with-a-brand-new-leg.html	David M. Crandell	both	male	male	3	3	47	35	True	True
a026	https://www.nytimes.com/2017/03/14/well/swimming-with-a-brand-new-leg.html	Dan Lasko	both	male	male	10	10	44	49	True	True
a026	https://www.nytimes.com/2017/03/14/well/swimming-with-a-brand-new-leg.html	Eric Feinstein	both	male	male	2	2		0	True	True
a026	https://www.nytimes.com/2017/03/14/well/swimming-with-a-brand-new-leg.html	Todd Goldstein	both	male	male	4	4		0	True	False
a026	https://www.nytimes.com/2017/03/14/well/swimming-with-a-brand-new-leg.html	Ben Luke	auto_only		male		2				True
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Maria Sharapova	both	female	female	17	20		0	False	False
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Angelique Kerber	both	female	female	4	3	36	42	True	True
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Bernard Giudicelli	both	male	male	2	3	49	57	True	True
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Guy Forget	both	male	male	1	1		0	False	False
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Steve Simon	both	male	male	2	2	77	99	True	True
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Karolina Pliskova	both	female	female	1	1	78	0	True	True
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Jo-Wilfried Tsonga	both	male	male	2	2	20	24	True	True
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Svetlana Kuznetsova	both	female	female	2	2	67	84	True	True
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Andy Murray	both	male	male	3	3	118	142	True	True
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Serena Williams	both	female	female	1	1		0	False	False
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Marin Cilic	both	male	female	1	1		0	False	False
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Roland Garros	auto_only		male		1				False
a028	https://www.nytimes.com/2017/03/09/sports/chris-bertish-paddleboard-atlantic-ocean.html	Johnny Clegg	both	male	male	1	1		0	False	False
a028	https://www.nytimes.com/2017/03/09/sports/chris-bertish-paddleboard-atlantic-ocean.html	Phil Morrison	both	male	male	1	1		0	False	False
a028	https://www.nytimes.com/2017/03/09/sports/chris-bertish-paddleboard-atlantic-ocean.html	Nicolas Jarossay	both	male	male	1	1		0	False	False
a028	https://www.nytimes.com/2017/03/09/sports/chris-bertish-paddleboard-atlantic-ocean.html	Chris Bertish	both	male	male	9	10	166	147	True	True
a028	https://www.nytimes.com/2017/03/09/sports/chris-bertish-paddleboard-atlantic-ocean.html	Juluka	auto_only		None		1				False
