art_id	url	name	where	m_gender	a_gender	m_count	a_count	m_quotes	a_quotes
a003	https://www.nytimes.com/2017/03/07/technology/blue-origin-jeff-bezoss-moon-shot-gets-first-paying-customer.html	Rodolphe Belmer	both	male	None	1	1	30	33	
a003	https://www.nytimes.com/2017/03/07/technology/blue-origin-jeff-bezoss-moon-shot-gets-first-paying-customer.html	Carissa Bryce Christensen	both	female	female	2	2	40	44	
a003	https://www.nytimes.com/2017/03/07/technology/blue-origin-jeff-bezoss-moon-shot-gets-first-paying-customer.html	Musk	auto_only							
a004	https://www.nytimes.com/2017/03/07/world/europe/wikileaks-cia-hacking.html	Dean Boyd	both	male	male	1	1	13	14	
a004	https://www.nytimes.com/2017/03/07/world/europe/wikileaks-cia-hacking.html	Edward J. Snowden	both	male	male	2	2	0	0	
a004	https://www.nytimes.com/2017/03/07/world/europe/wikileaks-cia-hacking.html	Beau Woods	both	male	male	1	1	41	14	
a004	https://www.nytimes.com/2017/03/07/world/europe/wikileaks-cia-hacking.html	Chelsea Manning	both	female	female	1	1	0	0	
a004	https://www.nytimes.com/2017/03/07/world/europe/wikileaks-cia-hacking.html	Ben Wizner	both	male	male	2	2	36	42	
a004	https://www.nytimes.com/2017/03/07/world/europe/wikileaks-cia-hacking.html	James Lewis	both	male	male	3	3	19	20	
a004	https://www.nytimes.com/2017/03/07/world/europe/wikileaks-cia-hacking.html	Robert M. Chesney	both	male	male	2	2	29	35	
a004	https://www.nytimes.com/2017/03/07/world/europe/wikileaks-cia-hacking.html	Python	auto_only							
a005	https://www.nytimes.com/2017/03/07/business/caterpillar-tax-fraud.html	Trump	both	male	male	1	1	0	0	
a005	https://www.nytimes.com/2017/03/07/business/caterpillar-tax-fraud.html	Corrie Heck Scott	both	female	female	1	1	0	0	
a005	https://www.nytimes.com/2017/03/07/business/caterpillar-tax-fraud.html	Caroline Nolan	both	female	female	1	1	9	11	
a005	https://www.nytimes.com/2017/03/07/business/caterpillar-tax-fraud.html	Leslie A. Robinson	both	female	female	8	9	69	80	
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Maxwell Ogden	both	male	male	4	4	40	49	
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Laurie Allen	both	female	female	1	1	40	44	
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	James R. Jacobs	manual_only							
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Patrice McDermott	both	female	female	2	2	18	20	
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Barbara Thiers	both	female	female	1	1	23	26	
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Anne Jefferson	both	female	female	1	1	22	24	
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Andrew Bergman	both	male	male	2	2	34	40	
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	James A. Jacobs	both	male	male	1	2	31	0	
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Sam Hodgson	auto_only							
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Obama	auto_only							
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Sarah Burton	both	female	female	1	1	0	0	
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Cara Delevingne	both	female	female	1	1	0	0	
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Alexander McQueen	both	male	male	1	1	0	0	
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Nicki Minaj	both	female	female	1	1	0	0	
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Karl Lagerfeld	both	male	male	1	1	0	0	
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Nadège Vanhee-Cybulski	manual_only							
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Rihanna	both	female	None	1	1	0	0	
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Kendall Jenner	manual_only							
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Gigi Hadid	manual_only							
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Kim Kardashian	manual_only							
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Riccardo Tisci	both	male	None	1	1	0	0	
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Haider Ackermann	both	male	None	1	1	0	0	
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Nick Jonas	both	male	male	1	1	0	0	
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Joe Jonas	manual_only							
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Fenty	auto_only							
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Nadge Vanhee-Cybulski	auto_only							
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Kim	auto_only							
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Kendall Jenner/Gigi Hadid	auto_only							
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Joe	auto_only							
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Giambattista Valli	auto_only							
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	James W. Cook	both	male	male	1	1	31	35	
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	John Williams	manual_only							
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Richard Woodley	both	male	male	1	1	21	23	
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Arsene Wenger	manual_only							
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Dudley Wood	both	male	male	1	1	32	0	
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Josh Rice	both	male	male	7	1	0	20	
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	unnamed source	manual_only							
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Helen Weston	both	female	female	1	1	27	33	
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Ella Eyre	both	female	female	1	1	0	0	
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Josephine Wright	both	female	female	1	2	28	35	
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Arthur Jones	both	male	male	2	2	82	87	
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Chris Oti	both	male	male	1	2	0	0	
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	John M. Williams	auto_only							
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Arsne Wenger	auto_only							
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	Oren Falkowitz	both	male	male	3	3	66	45	
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	"Microsoft, Google and Apple"	manual_only							
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	Denelle Nixon	manual_only							
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	Barack Obama	both	male	None	0	2	0	0	
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	Wikileaks	manual_only							
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	David Gutelius	both	male	male	1	1	46	0	
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	Matthew D. Green	manual_only							
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	Timothy D. Cook	both	male	male	1	2	20	28	
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	Edward Snowden	manual_only							
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	Julian Assange	auto_only							
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	Edward J. Snowden	auto_only							
a009	https://www.nytimes.com/2017/03/07/technology/wikileaks-silicon-valley-spy-agencies.html	Denelle Dixon	auto_only							
a010	https://www.nytimes.com/2017/01/27/technology/millennial-social-media-usage.html	Sean Casey	both	male	male	1	3	43	65	
a010	https://www.nytimes.com/2017/01/27/technology/millennial-social-media-usage.html	Instagram	auto_only							
a011	https://techcrunch.com/2017/03/14/bill-maris-next-gig-after-gv-is-a-100-million-health-and-biotech-fund/	Bill Maris	manual_only							
a011	https://techcrunch.com/2017/03/14/bill-maris-next-gig-after-gv-is-a-100-million-health-and-biotech-fund/	Maris	auto_only							
a012	https://techcrunch.com/2017/03/14/sift-raises-1-5-million-to-unlock-your-credit-cards/	Abhinav Dubey	both	male	None	2	2	139	149	
a012	https://techcrunch.com/2017/03/14/sift-raises-1-5-million-to-unlock-your-credit-cards/	Sophia Collier	auto_only							
a013	https://techcrunch.com/2017/03/14/zenefits-founder-parker-conrad-takes-another-crack-at-hr-onboarding/	Parker Conrad	both	male	male	11	11	301	333	
a013	https://techcrunch.com/2017/03/14/zenefits-founder-parker-conrad-takes-another-crack-at-hr-onboarding/	Rippling	auto_only							
a013	https://techcrunch.com/2017/03/14/zenefits-founder-parker-conrad-takes-another-crack-at-hr-onboarding/	Zenefits	auto_only							
a013	https://techcrunch.com/2017/03/14/zenefits-founder-parker-conrad-takes-another-crack-at-hr-onboarding/	Mark McGuire	auto_only							
a014	https://techcrunch.com/2017/03/14/teams-microsofts-slack-rival-opens-to-all-office-365-users/	Mira Lane	both	female	female	3	3	99	92	
a014	https://techcrunch.com/2017/03/14/teams-microsofts-slack-rival-opens-to-all-office-365-users/	J. Walter Thompson	auto_only							
a014	https://techcrunch.com/2017/03/14/teams-microsofts-slack-rival-opens-to-all-office-365-users/	Zendesk	auto_only							
a014	https://techcrunch.com/2017/03/14/teams-microsofts-slack-rival-opens-to-all-office-365-users/	Hootsuite	auto_only							
a014	https://techcrunch.com/2017/03/14/teams-microsofts-slack-rival-opens-to-all-office-365-users/	Deloitte	auto_only							
a014	https://techcrunch.com/2017/03/14/teams-microsofts-slack-rival-opens-to-all-office-365-users/	J.B. Hunt	auto_only							
a015	https://techcrunch.com/2017/03/14/goodlord/	Richard White	both	male	male	1	1	56	43	
a015	https://techcrunch.com/2017/03/14/goodlord/	Mayer Malka	manual_only							
a015	https://techcrunch.com/2017/03/14/goodlord/	LocalGlobe	auto_only							
a015	https://techcrunch.com/2017/03/14/goodlord/	Meyer Malka	auto_only							
a016	https://techcrunch.com/2017/03/14/tag-heuer-android-wear/	Jean-Claude Biver	both	male	None	1	1	88	0	
a016	https://techcrunch.com/2017/03/14/tag-heuer-android-wear/	Siri	auto_only							
a016	https://techcrunch.com/2017/03/14/tag-heuer-android-wear/	Oakley	auto_only							
a017	https://techcrunch.com/2017/03/14/roomba-connected-home/	Colin Angle	both	male	male	3	1	261	193	
a017	https://techcrunch.com/2017/03/14/roomba-connected-home/	Roomba	auto_only							
a017	https://techcrunch.com/2017/03/14/roomba-connected-home/	Alexa	auto_only							
a018	https://techcrunch.com/2017/03/08/tutoring-startup-toot-launches-into-twin-policy-storms-around-education-and-immigration/	Tobey Maguire	both	male	None	1	1	0	0	
a018	https://techcrunch.com/2017/03/08/tutoring-startup-toot-launches-into-twin-policy-storms-around-education-and-immigration/	Shakib Zabihian	both	male	male	13	15	137	145	
a018	https://techcrunch.com/2017/03/08/tutoring-startup-toot-launches-into-twin-policy-storms-around-education-and-immigration/	Randy Horowitz	both	male	male	1	1	0	0	
a018	https://techcrunch.com/2017/03/08/tutoring-startup-toot-launches-into-twin-policy-storms-around-education-and-immigration/	Sophia Parsa	both	female	female	13	13	181	135	
a018	https://techcrunch.com/2017/03/08/tutoring-startup-toot-launches-into-twin-policy-storms-around-education-and-immigration/	Chuck Pacheco	both	male	male	1	1	0	0	
a018	https://techcrunch.com/2017/03/08/tutoring-startup-toot-launches-into-twin-policy-storms-around-education-and-immigration/	Donald Trump	auto_only							
a018	https://techcrunch.com/2017/03/08/tutoring-startup-toot-launches-into-twin-policy-storms-around-education-and-immigration/	Betsy DeVos	auto_only							
a018	https://techcrunch.com/2017/03/08/tutoring-startup-toot-launches-into-twin-policy-storms-around-education-and-immigration/	Paras	auto_only							
a018	https://techcrunch.com/2017/03/08/tutoring-startup-toot-launches-into-twin-policy-storms-around-education-and-immigration/	Getty	auto_only							
a019	https://techcrunch.com/2017/03/14/producepay-raises-77-million-in-debt-and-equity-to-revolutionize-farm-financing/	Pablo Borquez Schwarzbeck	both	male	male	10	7	88	41	
a019	https://techcrunch.com/2017/03/14/producepay-raises-77-million-in-debt-and-equity-to-revolutionize-farm-financing/	Ali Hamed	both	male	male	2	3	84	97	
a020	https://techcrunch.com/2017/03/06/how-hazel-technologies-keeps-fresh-fruit-and-vegetables-from-spoiling/	Aidan Mouat	both	male	None	2	2	41	0	
a020	https://techcrunch.com/2017/03/06/how-hazel-technologies-keeps-fresh-fruit-and-vegetables-from-spoiling/	Niko Hrdy	both	male	male	2	2	39	45	
a021	https://www.nytimes.com/2017/03/15/world/asia/beauty-beast-gay-character-malaysia.html	Bill Condon	both	male	male	1	1	3	0	
a021	https://www.nytimes.com/2017/03/15/world/asia/beauty-beast-gay-character-malaysia.html	Dan Stevens	both	male	male	1	1	0	0	
a021	https://www.nytimes.com/2017/03/15/world/asia/beauty-beast-gay-character-malaysia.html	Abdul Halim Abdul Hamid	both	male	male	2	2	69	80	
a021	https://www.nytimes.com/2017/03/15/world/asia/beauty-beast-gay-character-malaysia.html	Emma Watson	both	female	female	1	1	0	0	
a021	https://www.nytimes.com/2017/03/15/world/asia/beauty-beast-gay-character-malaysia.html	Gaston	auto_only							
a022	https://www.nytimes.com/2017/03/14/sports/soccer/leicester-city-fc-sevilla-champions-league.html	Craig Shakespeare	both	male	male	2	2	0	4	
a022	https://www.nytimes.com/2017/03/14/sports/soccer/leicester-city-fc-sevilla-champions-league.html	Samir Nasri	both	male	None	1	1	0	0	
a022	https://www.nytimes.com/2017/03/14/sports/soccer/leicester-city-fc-sevilla-champions-league.html	Wes Morgan	both	male	male	1	1	0	0	
a022	https://www.nytimes.com/2017/03/14/sports/soccer/leicester-city-fc-sevilla-champions-league.html	Marc Albrighton	both	male	male	2	1	0	0	
a022	https://www.nytimes.com/2017/03/14/sports/soccer/leicester-city-fc-sevilla-champions-league.html	Claudio Ranieri	both	male	male	4	4	0	0	
a022	https://www.nytimes.com/2017/03/14/sports/soccer/leicester-city-fc-sevilla-champions-league.html	Jamie Vardy	both	male	female	2	2	0	0	
a022	https://www.nytimes.com/2017/03/14/sports/soccer/leicester-city-fc-sevilla-champions-league.html	Chelsea	auto_only							
a023	https://www.nytimes.com/2017/03/14/business/dealbook/bank-england-charlotte-hogg-resign.html	Nemat Shafik	both	female	female	2	2	0	0	
a023	https://www.nytimes.com/2017/03/14/business/dealbook/bank-england-charlotte-hogg-resign.html	Quintin Hogg	manual_only							
a023	https://www.nytimes.com/2017/03/14/business/dealbook/bank-england-charlotte-hogg-resign.html	Mark J. Carney	both	male	male	5	5	0	1	
a023	https://www.nytimes.com/2017/03/14/business/dealbook/bank-england-charlotte-hogg-resign.html	Douglas Hogg	manual_only							
a023	https://www.nytimes.com/2017/03/14/business/dealbook/bank-england-charlotte-hogg-resign.html	John Mann	both	male	female	1	2	2	0	
a023	https://www.nytimes.com/2017/03/14/business/dealbook/bank-england-charlotte-hogg-resign.html	John Major	manual_only							
a023	https://www.nytimes.com/2017/03/14/business/dealbook/bank-england-charlotte-hogg-resign.html	Charlotte Hogg	both	female	female	10	12	0	2	
a023	https://www.nytimes.com/2017/03/14/business/dealbook/bank-england-charlotte-hogg-resign.html	Sarah Hogg	manual_only							
a023	https://www.nytimes.com/2017/03/14/business/dealbook/bank-england-charlotte-hogg-resign.html	Santander	auto_only							
a023	https://www.nytimes.com/2017/03/14/business/dealbook/bank-england-charlotte-hogg-resign.html	Douglas	auto_only							
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	Stefan Grant	both	male	male	1	1	0	0	
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	Douglas Quinby	both	male	male	1	1	27	33	
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	Parker Stanberry	manual_only							
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	Matthieu Jost	both	male	male	1	1	0	0	
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	Jeff Manheimer	both	male	male	1	1	19	10	
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	Evan Frank	both	male	male	2	2	76	87	
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	Ronnia Cherry	both	female	None	1	1	0	0	
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	HomeAway	auto_only							
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	Airbnb	auto_only							
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	GuesttoGuest	auto_only							
a024	https://www.nytimes.com/2017/03/13/travel/airbnb-alternative-home-share-rentals.html	Martha	auto_only							
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Humaira Iqbal	both	female	None	2	2	65	0	
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Farhat Hashmi	both	female	female	3	3	0	0	
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Huma Najmul Hassan	both	female	None	1	1	0	0	
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Kulsoom Umar	manual_only							
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Sara Asif	both	female	female	3	3	23	12	
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Muhammad	both	male	None	1	1	0	0	
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Faisa Mushtaq	manual_only							
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Safiya Khan	both	female	female	1	1	0	0	
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Tashfeen Malik	both	female	None	1	1	0	0	
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Mahjabeen Umar	both	female	None	1	2	9	0	
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Little Ummati	auto_only							
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Faiza Mushtaq	auto_only							
a025	https://www.nytimes.com/2017/03/12/world/asia/citys-affluent-women-bring-islam-into-their-lives-and-lifestyles.html	Al-Huda	auto_only							
a026	https://www.nytimes.com/2017/03/10/science/nasa-cassini-saturn-moon-pan.html	Ben	both	male	male	1	1	0	16	
a026	https://www.nytimes.com/2017/03/10/science/nasa-cassini-saturn-moon-pan.html	Matthew Flynn	both	male	male	2	2	25	29	
a026	https://www.nytimes.com/2017/03/10/science/nasa-cassini-saturn-moon-pan.html	Luke	both	male	male	1	1	0	0	
a026	https://www.nytimes.com/2017/03/10/science/nasa-cassini-saturn-moon-pan.html	David M. Crandell	both	male	male	3	3	47	52	
a026	https://www.nytimes.com/2017/03/10/science/nasa-cassini-saturn-moon-pan.html	Dan Lasko	both	male	male	10	10	44	49	
a026	https://www.nytimes.com/2017/03/10/science/nasa-cassini-saturn-moon-pan.html	Eric Feinstein	both	male	male	2	2	0	0	
a026	https://www.nytimes.com/2017/03/10/science/nasa-cassini-saturn-moon-pan.html	Todd Goldstein	both	male	male	4	4	0	0	
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Maria Sharapova	both	female	female	17	20	0	0	
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Angelique Kerber	both	female	female	4	3	36	42	
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Bernard Giudicelli	both	male	male	2	3	49	57	
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Guy Forget	both	male	male	1	1	0	0	
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Steve Simon	both	male	male	2	2	77	99	
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Karolina Pliskova	both	female	None	1	1	78	0	
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Jo-Wilfried Tsonga	both	male	male	2	2	20	24	
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Svetlana Kuznetsova	both	female	female	2	2	67	142	
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Andy Murray	both	male	male	3	3	118	142	
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Serena Williams	both	female	female	1	1	0	0	
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Marin Cilic	both	male	female	1	1	0	0	
a027	https://www.nytimes.com/2017/03/09/sports/tennis/maria-sharapova-wild-cards.html	Roland Garros	auto_only							
a028	https://www.nytimes.com/2017/03/09/sports/chris-bertish-paddleboard-atlantic-ocean.html	Johnny Clegg	both	male	male	1	1	0	0	
a028	https://www.nytimes.com/2017/03/09/sports/chris-bertish-paddleboard-atlantic-ocean.html	Nicolas Jarossay	both	male	male	1	1	0	0	
a028	https://www.nytimes.com/2017/03/09/sports/chris-bertish-paddleboard-atlantic-ocean.html	Chris Bertish	both	male	male	9	10	166	147	
a028	https://www.nytimes.com/2017/03/09/sports/chris-bertish-paddleboard-atlantic-ocean.html	Juluka	auto_only							
a028	https://www.nytimes.com/2017/03/09/sports/chris-bertish-paddleboard-atlantic-ocean.html	Phil Morrison	auto_only							
a029	https://www.nytimes.com/2017/03/09/books/marilyn-b-young-dead-antiwar-historian.html	Marilyn B. Young	both	female	male	4	9	182	0	
